userId,follow,total,userId,diversity
514,7,794,514,5.074092598116175
258,0,50,258,6.72607482401819
519,0,52,519,5.0796244311225625
272,0,62,272,5.513837158662739
153,2,358,153,5.817914568749804
25,0,52,25,5.500907850193022
417,0,134,417,6.108077688419027
296,0,54,296,6.048890334616471
556,0,64,556,5.5968806650676886
306,0,224,306,4.011804876393961
567,4,770,567,4.640971238247486
184,1,268,184,4.1081522346125645
62,3,732,62,3.781066036847281
329,1,46,329,5.991876630347291
586,1,416,586,5.3891980395875505
331,1,336,331,5.390463439471529
459,0,52,459,5.307309612747494
77,0,58,77,6.048632452275639
205,0,54,205,5.03117470637585
209,0,70,209,5.621257348985087
338,0,78,338,6.202245733389507
596,3,822,596,6.895424069037113
89,6,1036,89,4.610037480256426
98,0,184,98,3.7265775770135257
362,3,218,362,5.979503391782519
491,0,128,491,5.316255653032371
111,4,1292,111,4.796971220616802
248,1,102,248,4.719407106333848
382,2,582,382,5.428222326210746
